record_id,trip_start_date,trip_days,distance_km,transport_mode,tuk_engine_type,fuel_type,bus_type,occupancy,congestion_factor,terrain_factor,hotel_class,nightly_kwh_est,season,grid_ef_kgCO2_per_kWh,diesel_gen_l_per_night,water_heating,safari_engine_hours,festival_event,pilgrimage_support_km,pilgrimage_support_liters,meal_plan,food_emissions_kgCO2,rice_kg_per_day,rice_emissions_kgCO2,waste_kg_per_day,waste_method,waste_emissions_kgCO2,plastic_bottles_per_day,plastic_emissions_kgCO2,transport_emissions_kgCO2,accommodation_elec_kgCO2,accommodation_gen_kgCO2,festival_gen_emissions_kgCO2,pilgrimage_emissions_kgCO2,total_trip_emissions_kgCO2
16,2025-11-27,7,80.7,Tourist Coach,,Electric,Private,12,0.8,1.0,5-star,94.87,dry,0.82,24.93,Solar Thermal,0.0,None,0,0.0,Local,19.698,0.6,6.342,0.757,Composting,0.265,2,0.7,0.377,544.552,467.687,0.0,0.0,1039.62
17,2025-10-09,7,114.8,Tuk-Tuk,4-stroke,Diesel,,3,0.92,1.15,Guesthouse,5.83,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,19.698,1.0,10.57,0.292,Open Landfill,1.021,1,0.35,2.112,2.858,0.0,0.0,0.0,36.609
18,2025-05-16,2,169.0,Tuk-Tuk,2-stroke,Petrol,,3,0.88,1.0,5-star,106.28,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,5.628,0.6,1.812,1.936,Incineration,0.775,1,0.1,5.949,14.879,0.0,0.0,0.0,29.142
19,2025-10-24,8,126.7,Safari Jeep,,Electric,,4,0.96,1.0,3-star,18.64,dry,0.82,0.0,Electric Boiler,4.83,None,0,0.0,Local,22.512,0.6,7.248,2.107,Incineration,3.371,0,0.0,2.174,141.958,0.0,0.0,0.0,177.262
20,2025-02-05,3,145.6,Tourist Coach,,Petrol,Private,28,1.0,1.0,Budget Hotel,10.55,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,8.442,0.6,2.718,0.854,Incineration,0.512,1,0.15,0.364,2.216,12.06,0.0,0.0,26.462
21,2025-05-14,12,131.9,Public Bus,,LPG,Public,35,1.11,1.0,Guesthouse,6.43,dry,0.82,4.38,Electric Boiler,0.0,None,0,0.0,Local,33.768,0.6,10.872,0.716,Sanitary Landfill,4.297,1,0.6,0.084,92.797,140.861,0.0,0.0,283.278
22,2025-02-21,5,7.5,Private Car,,Diesel,,1,1.21,1.0,Budget Hotel,8.68,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,1.101,Incineration,1.101,1,0.25,1.611,47.894,0.0,0.0,0.0,69.457
23,2025-09-28,4,101.6,Tuk-Tuk,2-stroke,Diesel,,1,1.15,1.0,Budget Hotel,7.24,wet,0.07,4.24,Electric Boiler,0.0,None,0,0.0,Local,11.256,0.6,3.624,1.315,Incineration,1.052,1,0.2,14.021,2.866,45.453,0.0,0.0,78.472
24,2025-11-21,9,130.9,Tuk-Tuk,4-stroke,Petrol,,3,1.09,1.0,Guesthouse,4.6,wet,0.07,2.21,Electric Boiler,0.0,None,0,0.0,Local,25.326,1.0,13.59,0.984,Open Landfill,4.428,2,0.9,2.854,4.787,53.305,0.0,0.0,105.19
25,2025-11-23,4,22.6,Train,,Electric,,84,1.16,1.0,3-star,19.98,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,11.256,0.0,0.0,0.2,Composting,0.04,1,0.2,0.009,65.518,0.0,0.0,0.0,77.024
26,2025-03-17,4,45.2,Pilgrimage Support Truck,,LPG,,15,0.87,1.35,3-star,22.49,wet,0.07,0.74,Solar Thermal,0.0,Small Local Festival,0,0.0,Mixed,15.816,0.6,3.624,0.41,Composting,0.082,3,0.6,5.792,6.298,7.933,99.262,0.0,139.407
27,2025-07-28,6,31.8,Hybrid Car,,Petrol,,1,1.32,1.0,Eco-lodge,7.21,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Local,16.884,0.3,2.718,1.623,Composting,0.487,0,0.0,2.49,35.472,24.12,0.0,0.0,82.171
28,2025-05-08,9,126.4,Pilgrimage Support Truck,,LPG,,8,1.03,1.0,Eco-lodge,9.06,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Import-Heavy,61.236,0.6,8.154,0.428,Incineration,0.77,4,1.8,32.061,66.866,36.18,0.0,0.0,207.066
29,2025-04-09,4,75.8,Private Car,,Petrol,,1,1.05,1.15,Guesthouse,6.69,wet,0.07,2.99,Diesel Boiler,0.0,None,0,0.0,Mixed,15.816,1.0,6.04,1.02,Open Landfill,2.04,0,0.0,11.015,1.874,48.133,0.0,0.0,84.918
30,2025-05-14,3,60.7,Hybrid Car,,Diesel,,3,0.82,1.0,Eco-lodge,8.21,wet,0.07,0.0,Electric Boiler,0.0,Pilgrimage (Pada Yatra),73,82.09,Local,8.442,0.0,0.0,0.75,Incineration,0.45,2,0.3,0.633,2.355,0.0,0.0,220.001,232.181
31,2025-08-12,6,3.1,Private Car,,Diesel,,1,1.28,1.15,4-star,43.71,wet,0.07,0.0,Electric Boiler,0.0,Pilgrimage (Pada Yatra),19,20.7,Local,16.884,0.6,5.436,1.202,Open Landfill,3.605,0,0.0,0.618,19.617,0.0,0.0,55.476,101.635
32,2025-06-17,4,76.0,Tuk-Tuk,2-stroke,Diesel,,1,0.82,1.15,Eco-lodge,8.17,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,15.816,0.6,3.624,0.278,Composting,0.056,1,0.2,7.478,36.63,0.0,0.0,0.0,63.804
33,2025-06-05,9,45.9,Hybrid Car,,Diesel,,2,0.87,1.0,Budget Hotel,10.08,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,0.6,8.154,1.793,Composting,0.807,1,0.45,0.973,96.502,0.0,0.0,0.0,132.212
34,2025-02-13,11,94.6,Private Car,,Electric,,2,1.19,1.0,4-star,37.12,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,74.844,1.5,24.915,1.465,Composting,0.806,2,1.1,10.802,30.892,0.0,0.0,0.0,143.359
35,2025-02-07,4,11.4,Private Car,,Diesel,,1,0.91,1.0,Eco-lodge,9.29,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,1.5,9.06,0.758,Composting,0.152,2,0.4,1.868,3.442,0.0,0.0,0.0,26.178
36,2025-09-23,3,90.7,Hybrid Car,,LPG,,2,0.89,1.0,Budget Hotel,8.86,wet,0.07,6.64,Electric Boiler,0.0,Small Local Festival,0,0.0,Mixed,11.862,1.0,4.53,1.794,Composting,0.269,0,0.0,2.045,2.491,53.386,45.657,0.0,120.24
37,2025-09-16,6,53.7,Hybrid Car,,LPG,,4,1.2,1.0,Guesthouse,6.88,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,1.0,9.06,1.021,Open Landfill,3.062,2,0.6,0.727,4.151,0.0,0.0,0.0,34.484
38,2025-05-21,8,5.0,Hybrid Car,,Electric,,3,0.89,1.0,5-star,92.73,wet,0.07,1.19,Electric Boiler,0.0,None,0,0.0,Import-Heavy,54.432,0.6,7.248,1.114,Composting,0.445,2,0.8,0.072,53.611,25.514,0.0,0.0,142.122
39,2025-06-19,7,1.0,Hybrid Car,,Diesel,,1,0.91,1.0,Budget Hotel,9.26,dry,0.82,10.18,Solar Thermal,0.0,None,0,0.0,Local,19.698,0.6,6.342,1.253,Open Landfill,4.384,1,0.35,0.046,53.126,190.977,0.0,0.0,274.924
40,2025-01-04,7,9.4,Electric Car,,Electric,,1,1.07,1.0,Budget Hotel,9.02,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,27.678,1.0,10.57,0.662,Open Landfill,2.317,0,0.0,1.723,5.891,0.0,0.0,0.0,48.179
41,2025-08-12,3,67.6,Safari Jeep,,Diesel,,5,1.32,1.15,Eco-lodge,8.5,dry,0.82,0.0,Electric Boiler,5.96,None,0,0.0,Local,8.442,0.6,2.718,1.191,Open Landfill,1.787,2,0.3,2.146,28.288,0.0,0.0,0.0,43.681
42,2025-10-16,5,87.3,Hybrid Car,,Electric,,1,0.8,1.0,4-star,43.8,wet,0.07,10.45,Electric Boiler,0.0,None,0,0.0,Import-Heavy,34.02,0.0,0.0,1.708,Open Landfill,4.269,0,0.0,3.59,16.381,140.03,0.0,0.0,198.29
43,2025-08-04,10,96.2,Public Bus,,Petrol,Public,37,0.8,1.0,Guesthouse,6.52,wet,0.07,9.9,Electric Boiler,0.0,None,0,0.0,Local,28.14,1.0,15.1,0.984,Open Landfill,4.919,2,1.0,0.042,6.666,265.32,0.0,0.0,321.187
44,2025-05-07,8,98.5,Private Car,,Petrol,,1,0.8,1.0,5-star,115.18,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,31.632,0.0,0.0,0.895,Open Landfill,3.579,0,0.0,14.668,66.179,0.0,0.0,0.0,116.058
45,2025-02-28,12,34.5,Private Car,,Petrol,,2,0.8,1.0,Budget Hotel,8.56,wet,0.07,0.72,Diesel Boiler,0.0,None,0,0.0,Local,33.768,0.6,10.872,1.054,Composting,0.632,1,0.6,1.887,7.187,71.395,0.0,0.0,126.341
46,2025-11-18,9,143.5,Tourist Coach,,LPG,Private,14,0.9,1.15,Guesthouse,4.94,wet,0.07,0.0,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,25.326,1.0,13.59,0.675,Open Landfill,3.039,4,1.8,0.646,5.001,0.0,781.796,0.0,831.197
47,2025-06-24,4,53.5,Private Car,,Diesel,,3,0.8,1.0,4-star,47.19,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,0.6,3.624,0.538,Sanitary Landfill,1.077,0,0.0,2.503,14.053,0.0,0.0,0.0,32.512
48,2025-10-03,3,107.0,Tuk-Tuk,4-stroke,Electric,,1,1.09,1.0,Eco-lodge,8.08,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,20.412,1.5,6.795,1.799,Open Landfill,2.698,1,0.15,6.998,27.254,0.0,0.0,0.0,64.307
49,2025-07-14,4,70.2,Tourist Coach,,Electric,Private,18,0.93,1.0,5-star,104.74,dry,0.82,0.0,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,11.256,0.6,3.624,1.811,Composting,0.362,1,0.2,0.254,353.388,0.0,668.519,0.0,1037.603
50,2025-02-13,5,102.5,Hybrid Car,,Electric,,3,1.03,1.0,Budget Hotel,9.84,wet,0.07,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Import-Heavy,34.02,0.6,4.53,2.348,Open Landfill,5.869,0,0.0,1.548,4.494,0.0,153.144,0.0,203.605
51,2025-06-06,6,67.1,Private Car,,Electric,,1,0.8,1.0,5-star,111.24,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.738,Composting,0.221,1,0.3,7.497,562.061,0.0,0.0,0.0,592.4
52,2025-04-09,6,103.6,Public Bus,,Diesel,Public,40,1.24,1.15,3-star,16.24,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.986,Open Landfill,2.957,1,0.3,0.064,8.079,0.0,0.0,0.0,33.721
53,2025-07-04,5,79.6,Hybrid Car,,LPG,,1,1.23,1.0,5-star,126.25,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,19.77,1.0,7.55,1.527,Open Landfill,3.819,0,0.0,4.741,45.237,0.0,0.0,0.0,81.118
54,2025-05-26,4,128.8,Private Car,,Petrol,,2,1.05,1.0,Guesthouse,5.18,wet,0.07,0.89,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Import-Heavy,27.216,1.0,6.04,1.618,Open Landfill,3.236,6,1.2,8.95,2.291,9.541,145.505,0.0,203.978
55,2025-03-19,9,30.9,Hybrid Car,,Electric,,1,1.09,1.0,Eco-lodge,7.61,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,25.326,0.6,8.154,1.211,Composting,0.545,1,0.45,1.233,4.794,0.0,0.0,0.0,40.501
56,2025-06-02,3,1.0,Private Car,,Diesel,,1,0.88,1.0,Budget Hotel,8.27,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,20.412,0.6,2.718,0.818,Incineration,0.491,0,0.0,0.135,27.713,0.0,0.0,0.0,51.469
57,2025-03-30,2,21.6,Train,,Electric,,74,0.85,1.0,Budget Hotel,12.86,dry,0.82,0.0,Electric Boiler,0.0,"Major Festival (e.g., Esala Perahera)",0,0.0,Local,5.628,0.6,1.812,1.07,Composting,0.107,0,0.0,0.007,26.013,0.0,281.32,0.0,314.887
58,2025-04-30,5,144.1,Public Bus,,LPG,Public,10,0.8,1.15,3-star,19.69,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,14.07,1.0,7.55,0.904,Open Landfill,2.261,0,0.0,0.231,80.722,0.0,0.0,0.0,104.834
59,2025-10-19,6,70.7,Safari Jeep,,LPG,,5,0.82,1.0,Guesthouse,6.76,wet,0.07,3.79,Electric Boiler,5.58,None,0,0.0,Local,16.884,1.0,9.06,1.071,Composting,0.321,1,0.3,2.009,4.099,60.943,0.0,0.0,93.616
60,2025-06-15,5,85.5,Safari Jeep,,Electric,,2,1.09,1.0,3-star,16.25,wet,0.07,0.0,Electric Boiler,4.99,None,0,0.0,Local,14.07,0.6,4.53,1.198,Incineration,1.198,1,0.25,4.491,6.736,0.0,0.0,0.0,31.275
61,2025-03-31,4,16.8,Public Bus,,Petrol,Public,15,0.91,1.0,Budget Hotel,8.18,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,27.216,1.0,6.04,0.401,Composting,0.08,1,0.2,0.02,36.683,0.0,0.0,0.0,70.239
62,2025-03-24,5,83.9,Hybrid Car,,Electric,,4,1.19,1.35,Budget Hotel,10.01,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,1.148,Composting,0.287,0,0.0,1.214,53.36,0.0,0.0,0.0,73.461
63,2025-09-21,9,18.6,Hybrid Car,,Electric,,1,1.36,1.15,Eco-lodge,8.97,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,25.326,1.5,20.385,0.306,Open Landfill,1.379,2,0.9,0.992,88.365,0.0,0.0,0.0,137.347
64,2025-04-15,3,27.5,Train,,Electric,,20,1.14,1.35,4-star,37.56,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,20.412,0.6,2.718,1.72,Composting,0.258,1,0.15,0.047,7.887,0.0,0.0,0.0,31.472
65,2025-10-10,3,55.9,Private Car,,LPG,,4,1.12,1.15,3-star,24.68,dry,0.82,4.81,Diesel Boiler,0.0,None,0,0.0,Local,8.442,0.6,2.718,1.618,Sanitary Landfill,2.427,1,0.15,2.519,60.717,50.732,0.0,0.0,127.706
66,2025-09-05,3,106.7,Hybrid Car,,LPG,,4,0.8,1.0,Eco-lodge,8.03,wet,0.07,7.42,Electric Boiler,0.0,None,0,0.0,Import-Heavy,20.412,0.6,2.718,1.496,Open Landfill,2.245,1,0.15,0.951,2.317,59.657,0.0,0.0,88.449
67,2025-09-17,8,113.1,Pilgrimage Support Truck,,LPG,,15,1.11,1.0,3-star,19.83,wet,0.07,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Mixed,31.632,0.6,7.248,1.594,Composting,0.638,3,1.2,18.993,12.787,0.0,74.563,0.0,147.06
68,2025-10-06,7,114.7,Private Car,,Petrol,,1,0.92,1.0,Budget Hotel,8.17,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,0.6,6.342,1.806,Sanitary Landfill,6.32,2,0.7,19.298,64.136,0.0,0.0,0.0,116.494
69,2025-07-15,8,1.0,Hybrid Car,,Diesel,,3,0.98,1.0,Eco-lodge,7.76,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,22.512,0.6,7.248,1.265,Incineration,2.024,4,1.6,0.019,6.024,0.0,0.0,0.0,39.427
70,2025-07-29,7,79.6,Hybrid Car,,LPG,,1,0.8,1.15,Guesthouse,5.28,wet,0.07,0.0,Electric Boiler,0.0,Small Local Festival,0,0.0,Local,19.698,0.6,6.342,1.468,Sanitary Landfill,5.136,1,0.35,2.84,4.056,0.0,119.888,0.0,158.31
71,2025-10-01,8,68.2,Train,,Electric,,39,0.8,1.0,Guesthouse,6.29,dry,0.82,7.36,Electric Boiler,0.0,None,0,0.0,Local,22.512,0.6,7.248,1.399,Composting,0.56,2,0.8,0.042,60.925,157.798,0.0,0.0,249.886
72,2025-02-16,7,1.0,Hybrid Car,,Diesel,,2,1.14,1.0,Eco-lodge,8.08,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,47.628,0.6,6.342,1.816,Open Landfill,6.354,4,1.4,0.028,5.431,0.0,0.0,0.0,67.183
73,2025-08-09,5,81.0,Hybrid Car,,Petrol,,2,0.96,1.35,4-star,46.65,wet,0.07,0.44,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.3,2.265,1.572,Open Landfill,3.931,1,0.25,1.687,17.377,5.896,0.0,0.0,45.475
74,2025-08-25,3,65.0,Private Car,,Electric,,2,1.68,1.0,5-star,129.48,wet,0.07,1.77,Diesel Boiler,0.0,None,0,0.0,Local,8.442,1.0,4.53,0.736,Open Landfill,1.104,1,0.15,9.283,27.191,26.291,0.0,0.0,76.99
75,2025-06-03,4,110.7,Public Bus,,Electric,Public,26,0.98,1.0,4-star,44.31,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,1.0,6.04,2.04,Incineration,1.632,1,0.2,0.083,155.169,0.0,0.0,0.0,174.381
76,2025-06-01,5,84.9,Public Bus,,Electric,Public,26,1.17,1.0,3-star,20.74,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.6,4.53,2.573,Open Landfill,6.432,2,0.5,0.076,8.31,0.0,0.0,0.0,33.918
77,2025-04-28,8,47.0,Tuk-Tuk,4-stroke,Diesel,,1,0.81,1.0,Eco-lodge,6.99,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Mixed,31.632,1.0,12.08,1.497,Composting,0.599,2,0.8,2.284,45.841,32.16,0.0,0.0,125.396
78,2025-11-27,5,135.5,Public Bus,,Diesel,Public,24,0.8,1.15,4-star,41.13,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,19.77,0.6,4.53,2.002,Incineration,2.002,2,0.5,0.09,180.942,0.0,0.0,0.0,207.834
79,2025-09-29,4,1.0,Tuk-Tuk,4-stroke,Petrol,,2,0.8,1.35,5-star,106.37,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,11.256,0.6,3.624,1.87,Incineration,1.496,2,0.4,0.024,30.624,0.0,0.0,0.0,47.423
80,2025-03-14,3,76.1,Hybrid Car,,Diesel,,3,0.98,1.0,Budget Hotel,9.71,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,8.442,0.3,1.359,1.385,Incineration,0.831,1,0.15,1.46,31.266,0.0,0.0,0.0,43.507
81,2025-08-21,7,1.0,Tourist Coach,,LPG,Private,26,0.84,1.0,4-star,47.23,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,47.628,0.0,0.0,1.344,Sanitary Landfill,4.705,4,1.4,0.002,288.347,0.0,0.0,0.0,342.083
82,2025-04-24,4,25.3,Hybrid Car,,Diesel,,2,1.04,1.35,5-star,123.86,dry,0.82,6.47,Electric Boiler,0.0,None,0,0.0,Mixed,15.816,0.6,3.624,2.304,Incineration,1.843,2,0.4,0.728,416.089,69.358,0.0,0.0,507.859
83,2025-08-21,6,111.5,Public Bus,,Electric,Public,29,1.23,1.0,4-star,39.8,wet,0.07,7.09,Solar Thermal,0.0,Pilgrimage (Pada Yatra),19,16.95,Local,16.884,1.0,9.06,0.617,Open Landfill,1.85,2,0.6,0.095,16.714,114.007,0.0,45.426,204.636
84,2025-04-22,10,3.5,Hybrid Car,,Electric,,2,1.03,1.0,4-star,48.34,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,39.54,0.6,9.06,0.868,Composting,0.434,2,1.0,0.101,421.028,0.0,0.0,0.0,471.164
85,2025-08-21,7,1.0,Hybrid Car,,LPG,,3,0.8,1.0,Guesthouse,6.58,dry,0.82,0.0,Diesel Boiler,0.0,None,0,0.0,Local,19.698,0.6,6.342,2.23,Open Landfill,7.807,1,0.35,0.011,37.751,28.14,0.0,0.0,100.098
86,2025-03-17,7,222.9,Tuk-Tuk,2-stroke,Petrol,,1,1.25,1.15,Budget Hotel,9.31,dry,0.82,0.0,Solar Thermal,0.0,Small Local Festival,0,0.0,Local,19.698,0.6,6.342,1.749,Composting,0.612,1,0.35,33.435,53.446,0.0,47.744,0.0,161.627
87,2025-05-02,10,1.0,Tourist Coach,,Petrol,Private,13,0.88,1.15,Eco-lodge,7.65,wet,0.07,0.63,Electric Boiler,0.0,None,0,0.0,Import-Heavy,68.04,0.0,0.0,1.027,Open Landfill,5.135,3,1.5,0.005,7.456,16.884,0.0,0.0,99.02
88,2025-08-20,5,179.0,Public Bus,,Petrol,Public,21,0.84,1.0,Budget Hotel,11.19,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Local,14.07,0.6,4.53,0.957,Composting,0.239,3,0.75,0.143,3.918,0.0,0.0,0.0,23.651
89,2025-02-25,10,69.7,Hybrid Car,,Petrol,,2,1.56,1.0,Eco-lodge,8.48,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,39.54,1.0,15.1,2.656,Open Landfill,13.279,2,1.0,2.365,94.155,0.0,0.0,0.0,165.439
90,2025-09-29,3,48.5,Hybrid Car,,Electric,,1,1.3,1.0,Guesthouse,6.03,dry,0.82,14.32,Electric Boiler,0.0,None,0,0.0,Local,8.442,0.6,2.718,1.774,Incineration,1.065,3,0.45,3.165,22.224,115.133,0.0,0.0,153.197
91,2025-06-23,11,114.0,Private Car,,Electric,,1,1.33,1.0,4-star,41.8,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,30.954,0.6,9.966,2.216,Open Landfill,12.186,1,0.55,27.932,404.097,0.0,0.0,0.0,485.685
92,2025-02-13,7,160.2,Train,,Electric,,71,0.8,1.0,3-star,19.03,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,1.0,10.57,0.312,Open Landfill,1.094,2,0.7,0.054,10.796,0.0,0.0,0.0,42.912
93,2025-01-27,10,11.2,Tuk-Tuk,2-stroke,Diesel,,3,1.04,1.0,3-star,19.99,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,28.14,1.0,15.1,1.527,Composting,0.764,3,1.5,0.466,188.496,0.0,0.0,0.0,234.466
